ESTABLECIMIENTO,CALLE No.,COLONIA,"CÓDIGO
POSTAL",LOCALIDAD,ENTIDAD,No. LICENCIA,"FECHA
EXPEDICIÓN",LÍNEAS AUTORIZADAS,"ESTATUS DE
LA LICENCIA",ESTATUS DEL ESTABLECIMIENTO,OBSERVACIONES,LINEAS CERTIFICADAS,"NO. DE OFICIO DE
CERTIFICACION",FECHA DE EMISION,"FECHA DE
VENCIMIENTO","ESTATUS DE LA
CERTIFICACIÓN"
"Industria Farmacéutica Andrómaco, S.A. de C.V.",Andromaco No. 104,Ampliación Granada,11520,Miguel Hidalgo,D.F.,09011020012,06-dic.-02,"SÓLIDOS ORALES: Tabletas recubiertas, Comprimidos, Cápsulas de gelatina dura, Grageas; SÓLIDOS NO ORALES: Tabletas vaginales; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Supositorio, Crema, Ungüento, Gel, Óvulo, Pomada, Pasta.",Revocada,Suspensión definitiva el 18 de octubre de 2022,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,"Sólidos orales, Sólidos no orales, Líquidos orales, Semisólidos.",113300IT011371,04-ago.-11,04-feb.-14,Vencido
"Industria Farmacéutica Andrómaco, S.A. de C.V.",Eje 3 Norte No. 202,Parque Industrial Toluca 2000,50233,Toluca,Edo. de México,15106020017,15-ene.-14,"SÓLIDOS ORALES: Tabletas recubiertas, Comprimidos, Cápsulas de gelatina dura, Grageas; SÓLIDOS NO ORALES: Tabletas vaginales; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Supositorios, Crema, Ungüento, Gel, Óvulo, Pomada, Pasta.",Vigente,Vigente,Ninguna,"Líquidos orales, Semisólidos.",203300CI110153,17-jun.-20,01-dic.-22,Vencido
"Industrias Químicas Kemed, S.de
R.L. de C.V.",Callejón de Las Moras No. 11901,20 de Noviembre,22430,Tijuana,Baja California,02004020006,01-dic.-05,"SÓLIDOS ORALES HERBOLARIOS: Tabletas, Cápsulas de gelatina dura, Polvo para reconstituir; SEMISÓLIDOS HERBOLARIOS: Crema, Ungüento, Gel,
Pomada.",Vigente,Suspensión temporal del 14 de julio de 2017 al 14 de julio de 2018,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Industrias Químico Farmacéuticas Americanas, S.A. de C.V.","Circuito Cerrillo II, Mz. 1 Lt. 2",Parque Industrial Lerma,52000,Lerma,Edo. de México,15051020009,28-jun.-10,"SÓLIDOS ORALES  BETALACTÁMICOS: Cápsulas de
gelatina dura, Polvo para reconstituir; ESTÉRILES BETALACTÁMICOS: Polvo para suspensión inyectable en frasco ámpula, Polvo para solución inyectable en frasco ámpula.",Revocada,Suspensión definitiva el 13 de octubre 2021,Con fundamento en el Artículo 202; Cap. II Art. 380 fracc. XI  de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Industrias Químico Farmacéuticas Americanas, S.A. de C.V.","Circuito Cerrillo II, Mza. 3 Lote. 2 y 3",Parque Industrial Lerma,52000,Lerma,México,15051020010,25-mar.-19,"ESTÉRILES: Solución inyectable en ampolleta,
Suspensión inyectable en ampolleta, Solución inyectable en frasco ámpula, Emulsión inyectable en frasco ámpula, Liofilizado inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,Estériles,223300EL532043,26-abr.-23,26-oct.-25,Vigente
"Industrias Químico Farmacéuticas Americanas, S.A. de C.V.",Circuito Cerrillo II Manzana 1 Lote 17,Parque Industrial Lerma,52000,Lerma,México,15051020001,11-jul.-22,"SÓLIDOS: Tabletas o Comprimidos , Polvo para reconstituir, Cápsulas de gelatina dura; LÍQUIDOS: Solución, Suspensión, Elixir, Jarabe; SEMISÓLIDOS: Crema, Pomada.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Semisólidos.",213300516A0901,02-ago.-21,28-ene.-22,Vencido
"Industrias Suanca, S.A. de C.V.",Nogal No. 64,San José de los Cedros,05200,Cuajimalpa de Morelos,Ciudad de México,09005020003,18-nov.-20,"SÓLIDOS: Tabletas o comprimidos, Polvo; LÍQUIDOS: Solución, Suspensión, Jarabe, Solución Nasal; SEMISÓLIDOS: Crema, Gel; ESTÉRILES: Solución inyectable en ampolleta, Polvo para solución inyectable en frasco ámpula, solución inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Semisólidos, Estériles.","203300129X0345,
233300IT040054",19-abr.-23,19-oct.-25,Vigente
"Infra, S.A. de C.V.",Vía Gustavo No. 56,San Pedro Barrientos,54110,Tlalnepantla de Baz,Edo. de México,1104000199,No disponible,GASES MEDICINALES.,Vigente,Vigente,Ninguna,"Gases Medicinales: Producción: Aire, Mezcla nítrico-nitrógeno; Llenado: Oxígeno, Nitrógeno, Óxido nitroso, Dioxido de carbono.",CAS/SELS/5042/2019,29-ago.-19,01-ago.-21,Vencido
"Innovare R & D, S.A. de C.V.",Calle 2 No. 13,San Pedro de los Pinos,03800,Benito Juárez,Ciudad de México,09003020012,02-ene.-23,"LÍQUIDOS: Solución, Suspensión; SEMISÓLIDOS: Crema, Gel, Ungüento.",Vigente,Vigente,Ninguna,Líquidos y Semisólidos.,203300EL532096,08-ene.-21,08-jul.-23,Vigente
"Instituto Bioclon, S.A. de C.V.",Calz. De Tlalpan No. 4687,Toriello Guerra,14050,Tlalpan,D.F.,09014020004,30-abr.-09,"LÍQUIDOS ORALES: Suspensión oral; ESTÉRILES: Liofilizado para solución inyectable en frasco ámpula, Liofilizado para suspensión inyectable en frasco ámpula.",Vigente,"Suspensión de actividades del 26 de febrero de 2022 al 26 de
febrero de 2023",Con fundamento en el Artículo 202 de la Ley General de Salud,"Líquidos Orales, Estériles.",SLS/04/0648/2012,12-sep.-12,31-ene.-13,Vencido
"Integra Health International, S.A. de C.V.","Av. Fuentes del Valle No. 101, Int. 2",Fuentes del Valle,66220,San Pedro Garza García,Nuevo León,19019030001,31-jul.-00,LÍQUIDOS ORALES: Solución.,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Investigación Biocosmetica e
Industrial, S.A. de C.V.",Víctor Hugo No. 99,Portales,03300,Benito Juárez,D.F.,09003040001,03-may.-01,"SEMISÓLIDOS: Ungüento, Gel.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Investigación Farmacéutica, S.A. de C.V.",Calle 13 Este No. 5,Civac,62578,Jiutepec,Morelos,17011020007,30-sep.-20,"SÓLIDOS: Tabletas o comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura: SÓLIDOS HERBOLARIOS: Tabletas o comprimidos, Tabletas recubiertas, cápsulas de gelatina dura; LÍQUIDOS: Solución; SÓLIDOS HORMONALES: Tabletas o
Comprimidos, Tabletas Recubiertas.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Sólidos- Hormonales.","223300EL531769,
223300EL531851",24-mar.-23,24-sep.-25,Vigente
"Italmex, S.A.",Calz. de Tlalpan No. 3218,Santa Ursula Coapa,04850,Coyoacan,D.F.,09004020012,02-mar.-15,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Cápsulas de gelatina dura de liberación prolongada, Granulado, Polvo para reconstituir; LÍQUIDOS ORALES: Solución Suspensión, Jarabe; LÍQUIDOS NO ORALES: Solución Suspensión, Emulsión; SEMISÓLIDOS: Supositorio, Crema, Óvulo, Ungüento, Espuma, Gel; LÍQUIDOS ORALES HERBOLARIOS: Solución; SEMISÓLIDOS
HERBOLARIOS: Supositorio, Crema, Óvulo.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Líquidos no orales, Semisólidos, Líquidos orales Herbolarios, Semisólidos Herbolarios.",183300EL532109,13-sep.-18,17-jun.-19,Vencido
"Ivax Pharmaceuticals México, S.A. de C.V.",Blvd. Morelos No. 1655,Año de Juárez,25900,Ramos Arizpe,Coahuila,05027020002,03-may.-02,"SÓLIDOS ORALES: Tabletas, Comprimidos, Cápsulas de gelatina dura, Polvo para reconstituir; ESTÉRILES: Polvo para suspensión inyectable en frasco ámpula, polvo para solución inyectable en frasco ámpula.",Vigente,Suspendido desde 2010,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"J&A Pharmaceuticals, SA de CV","Circuito Ciudad Sahagun Otumba. Lote 4, Int. B.",Fracc. Industrial Sahagún,43998,Tepeapulco,Hidalgo,13061020001,21-abr.-20,"Liquidos: Solución, Suspención, Jarabe y Emulsión. Semisólidos: Crema, Ovúlo, Supositorios, Pasta, Ungüento y Gel. Estériles: Solución Inyectable en ampolletas, Solución Inyectable en Frasco Ámpula, Liofilizado para solución inyectable en frasco ámpula, Solución Oftálmica. Aerosoles: Suspensión en aerosol.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Janssen-Cilag de México, S.de R.L. de C.V.",Carretera Federal México Puebla Km. 81.5-A,San Mateo Capultitlán,74160,Huejotzingo,Puebla,21074020002,19-ene.-09,SEMISÓLIDOS: Óvulo.,Vigente,Suspensión temporal del 14- DIC-2017 al 21-dic-2022,Con fundamento en el Artículo 202 de la Ley General de Salud,Semisólidos,183300ER020065,15-jun.-18,27-abr.-20,Vencido
"Janssen-Cilag, S.A. de C.V.",Carretera Federal México Puebla Km. 81.5,San Mateo Capultitlán,74160,Huejotzingo,Puebla,21074020001,14-dic.-22,"SÓLIDOS ORALES: Tabletas o comprimidos,  Tabletas recubiertas, Cápsulas de gelatina dura; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; LÍQUIDOS NO ORALES: Solución, Loción; SEMISÓLIDOS: Supositorios, Crema, Ungüento, Gel, Óvulo, Pomada.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Líquidos no orales, Semisólidos.",213300EL530015,08-mar.-21,08-sep.-23,Vigente
La Universal,Av. Atzacoalco No. 83,Constitución de la República,7469,Gustavo A. Madero,D.F.,09007030001,28-ene.-13,SÓLIDOS ORALES:Tabletas y Globulos; LÍQUIDOS NO ORALES: Tinturas y Diluciones.,Revocada,Suspensión definitiva el 13 de octubre 2021,"Con fundamento en
el Artículo 202, Cap. II, Art. 380, Fracc. XI  de la Ley General de
Salud",N/A,N/A,N/A,N/A,N/A
"Laboratorio Bioquímico Mexicano,
S.A. de C.V.",Manuela Taboada No. 383,Agustín Arriaga Rivera,58190,Morelia,Michoacán,16053020002,28-sep.-20,"SÓLIDOS ORALES: Tabletas, Comprimidos.",Vigente,Vigente,Ninguna,Sólidos.,213300EL530974,13-dic.-21,13-jun.-24,Vigente
"Laboratorio de Especialidades
Homeopáticas Millenium, S.A. de
C.V.",Osa Menor No. 188,Prados Churubusco,04230,Coyoacan,D.F.,09004030001,04-jun.-99,"LÍQUIDOS ORALES: Tinturas madres, Diluciones; SEMISÓLIDOS: Pomada",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
Laboratorio de Investigación Científica,Prolongación de Carpio y Plan de Ayala,Santo Tomás,11340,Miguel Hidalgo,D.F.,09011020023,13-ago.-13,"ESTÉRILES HEMODERIVADOS: Solución inyectable en ampolleta, Solución oral.",Vigente,Vigente,"Prohibicion de actos
de uso Art. 404 frac.XII de la LGS.",N/A,N/A,N/A,N/A,N/A
"Laboratorio Farmacológico Nutrimedi, S.A. de C.V.",Adolfo Rivera Velador No. 23,Santa Cecilia,13010,Tlahuac,D.F.,09013020001,28-nov.-03,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura.",Vigente,Suspensión de trabajos y servicios.,"Con fundamento en
los Artículos 412 y 415
de la Ley General de Salud.",N/A,N/A,N/A,N/A,N/A
"Laboratorio Farma-Qro, S.A. de C.V.",Calle 2 No. 42,Zona Industrial Benito Juárez,76120,Querétaro,Querétaro,22014020002,26-ene.-22,"SÓLIDOS: Tabletas o cpmprimidos, Tabletas efervescentes; Tabletas recubiertas, Granulado, Polvo. Homeopaticos: Tabletas o comprimidos, Tabletas recubiertas, Glóbulo. ESTÉRILES: Solución, Suspensión, Elixir, Jarabe, Vino medicinal, Emulsión, Homeopáticos: Solución Elixir, Jarabe, Linimento, SEMISÓLIDOS: Crema, Gel, Pomada, Homeopáticos:
Crema, Gel, Pomada",Vigente,Vigente,Ninguna,"Sólidos, Líquidos no orales, Líquidos, Líquidos no orales, Semisólidos.",203301EL531394,12-oct.-20,12-abr.-23,Vencido
"Laboratorio Homeopático y de
Investigación, S.A.",Calle Bolivia No. 606,Francisco Zarco,34210,Durango,Durango,10005020001,09-ago.-05,LÍQUIDOS ORALES HOMEOPÁTICOS: Solución.,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Laboratorio Médico Químico Biológico, S.A. de C.V.",Reforma  No. 9,Atlantida,04370,Coyoacan,D.F.,09004020030,09-oct.-03,"SÓLIDOS ORALES: Tabletas, Tabletas de liberación prolongada, Tabletas recubiertas, Grageas, Grageas de liberación prolongada; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Supositorio, Crema, Ungüento, Pomada.",Vigente,Vigente,Ninguna,Sólidos orales. Líquidos orales Semisóidos,213300EL531706,06-dic.-21,09-jun.-23,Vigente
"Laboratorio Raam de Sahuayo, S.A. de C.V.",Blvd. Lázaro Cárdenas Sur No. 794,Noria de Montes,59033,Sahuayo,Michoacán,16076020001,22-abr.-22,"SÓLIDOS: Tabletas o Comprimidos, Cápsulas de gelatina dura, Grageas, Cápslas de Gelatina blanda; LÍQUIDOS: Jarabe, Suspensión, Solución, Emulsión; SEMISÓLIDOS: Crema, Gel Ungüento; SÓLIDOS INMUNOSUPRESORES: Tabletas o comprimidos, Cápsulas de gelatina dura, Cápsulas de gelatina dura de liberación prolongada, Cápsulas de gelatina blanda; LÍQUIDOS INMUNOSUPRESORES: Jarabe,
Suspensión, Solución, Emulsión; SEMISOLIDOS INMUNOSUPRESORES: Crema, Gel, Ungüento.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Semisólidos, Sólidos Inmunosupresores, Líquidos Inmunosupresores, Semisólidos Inmunosupresores",213300516A1188,18-oct.-21,13-abr.-22,Vencido
"Laboratorio Willmar, S.A. de C.V.",Placeres No. 1030,Chapalita,44510,Guadalajara,Jalisco,1014004653,No disponible,No disponible,Vigente,Suspensión de trabajos y servicios,"Con fundamento en los Artículos 402, 404,
412 y 414 de la Ley General de Salud.",N/A,N/A,N/A,N/A,N/A
"Laboratorio Zurich Bio, S.A.P.I. de C.V.","Carr. México-Querétaro Km. 71.5, Edif. B",Noxtongo,42855,Tepejí del Río de Ocampo,Hidalgo,13063020004,24-mar.-23,"ESTÉRILES-BIOTECNOLÓGICOS: Solución inyectable en frasco ámpula, Solución inyectable en jeringa, Liofilizado para solución inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,Estériles-Biotecnológicos,233300EL530467,24-mar.-23,25-jul.-25,Vigente
"Laboratorios Alpharma, S.A. de C.V.",Blvd. Pipila No. 1 esq. Av. del Conscripto,Manuel Ávila Camacho,11610,Miguel Hidalgo,D.F.,09011020009,02-ago.-00,"SÓLIDOS ORALES: Tabletas, polvo para reconstituir, Grageas; LÍQUIDOS ORALES: Solución, Suspensión, Elixir, Jarabe, Gotas; LÍQUIDOS NO ORALES: Solución nasal; SEMISÓLIDOS: Crema, Pomada, Pasta.",Vigente,Suspendido desde el 31 de marzo del 2021 al 31 de marzo de 2024,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Laboratorios Alpharma, S.A. de C.V.","Poniente 150 No. 764, Int. 2",Industrial Vallejo,02300,Azcapotzalco,D.F.,09002020011,07-dic.-15,"SÓLIDOS: Tabletas, Tabletas recubiertas, Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,Sólidos.,COFEPRIS-CAS-SELS-21267 2022,09-dic.-22,09-jun.-25,Vigente
"Laboratorios Baja Med, S.A. de C.V.",Esteban Cantu No. 6620,El Rubi,22626,Tijuana,Baja California,02004020002,08-sep.-11,"SÓLIDOS ORALES: Tabletas, Tabletas recubiertas, Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,Sólidos Orales.,CAS/SELS/2480/2021,17-feb.-21,17-ago.-23,Vigente
"Laboratorios Best, S.A.",Municipio Libre No. 199,Portales,03300,Benito Juárez,Ciudad de México,09003020023,14-feb.-19,"SÓLIDOS ORALES: Tabletas o comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,Sólidos.,213300EL530454,14-may.-21,14-nov.-23,Vigente
"Laboratorios Best, S.A. (Planta
Adicional Catarroja)",Catarroja No. 183,San Nicolas Tolentino,09850,Iztapalapa,D.F.,09009020014,06-nov.-14,"SEMISÓLIDOS: Crema, Ungüento, Pasta, Crema.",Vigente,Vigente,Ninguna,Semisólidos.,213300CI110020,30-mar.-21,24-ago.-21,Vencido
"Laboratorios Best, S.A. (Planta Adicional)",Bilbao No. 281,San Nicolás Tolentino,09850,Iztapalapa,D.F.,09009020012,31-oct.-14,"LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Crema, Ungüento, Gel, Pomada.",Vigente,Vigente,Ninguna,"Líquidos orales, Semisólidos.",233300516A0153,13-feb.-23,04-sep.-23,Vigente
"Laboratorios Bio Salud, S.A. de C.V.",Av. El colli No. 4805,El Colli Urbano,45070,Zapopan,Jalisco,14120020018,28-feb.-14,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura; LÍQUIDOS ORALES: Solución, Suspensión, Elixir; SEMISÓLIDOS: Crema, Gel.",Revocada,Suspensión definitiva desde el 10 de mayo de 2017,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Laboratorios Bioserum México, S.A. de C.V.",Poniente 44 No. 2672,San Salvador Xochimanca,02870,Azcapotzalco,Ciudad de México,09002020003,17-may.-22,"LÍQUIDOS: Solución, Suspensión, Jarabe.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos.",173501ER020002,19-oct.-17,22-nov.-19,Vencido
"Laboratorios Bustillos, S.A. de C.V.",Manuel Dublan No. 40,Tacubaya,11870,Miguel Hidalgo,Distrito Federal,1011011037,No disponible,No disponible,Vigente,"Suspendido del 07 de diciembre de 2020 al 08 de
diciembre de 2023",Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Laboratorios Columbia, S.A. de C.V.",Oriente 10 No. 1,Parque Industrial,76809,San Juan del Río,Querétaro,22016020003,03-ene.-23,"SÓLIDOS: Tabletas o Comprimidos, Tabletas de liberación prolongada, Tabletas recubiertas, Cápsulas de gelatina dura, Granulado, Polvo para reconstituir, Grageas de liberación prolongada; LÍQUIDOS: Solución, Suspensión, Elixir, Jarabe; SEMISÓLIDOS: Crema, Ungüento, Gel, Jalea, Pomada, Pasta; SÓLIDOS ONCOLÓGICOS: Tabletas.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Semisólidos, Sólidos oncológicos.",223300CT110066,26-abr.-22,05-oct.-22,Vencido
"Laboratorios Corne, S.A. de C.V.",Ocampo No. 167-A,Las Encinas,66050,Escobedo,Nuevo León,19021020001,27-feb.-23,"SÓLIDOS: Tabletas, Tabletas recubiertas, Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,Sólidos,"213300EL531420,
213300EL531985",18-oct.-21,18-abr.-24,Vigente
"Laboratorios Cryopharma, S.A. de C.V.","Km. 22.5 Carretera Guadalajara-Morelia, Lote 4 y 6",N/I,45640,Tlajomulco de Zúñiga,Jalisco,14097020001,15-mar.-23,"SÓLIDOS: Tabletas o comprimidos, Tabletas recubiertas; ESTÉRILES: Suspensión inyectable en frasco ámpula, Solución inyectable en ampolleta, Solución inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula, Liofilizado para suspensión inyectable en frasco ámpula, Polvo para suspensión en frasco ámpula; SÓLIDOS- CITOTÓXICOS: Tabletas o comprimidos, Tabletas recubiertas; ESTÉRILES-CITOTÓXICOS: Solución inuectable en frasco ámpula, Suspensión inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula, Liofilizado para suspensión inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Laboratorios de Biológicos y Reactivos de México, S.A. de C.V.",Prol. Carpio No. 492,Casco de Santo Tomas,11340,Miguel Hidalgo,D.F.,09011020014,10-abr.-02,LÍQUIDOS ORALES: Suspensión.,Vigente,Suspensión temporal del 24 de Junio de 2020 - Indefinido,"Con fundamento en
el Artículo 202 de la
Ley General de Salud.",Líquidos Orales,183300IT040263,22-jun.-18,15-jun.-20,Vencido
"Laboratorios de Biológicos y Reactivos de México, S.A. de C.V.",Mariano Escobedo No. 20,Popotla,11400,Miguel Hidalgo,D.F.,09011020015,21-ene.-02,"ESTÉRILES: Suspensión inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula.",Vigente,"Supensión temporal del 14 de agosto de 2020 al 31 de
diciembre de 2022",Con fundamento en el Artículo 202 de la Ley General de Salud.,Estériles biológicos.,193300CT110488,16-ene.-20,06-oct.-20,Vencido
"Laboratorios DEF, S.A. de C.V.","Carr. Nogales No. 5297, Int. Modulo 6, Nave Industrial 16",Rancho Contento,45222,Zapopan,Jalisco,14120020023,20-sep.-19,"ESTÉRILES: Solución inyectable en frasco ámpula, Emulsión iyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula, Solución Oftálmica, Emulsión Oftálmica, Solución Ótica, Emulsión Ótica, Solución Nasal, Emulsión Nasal.",Vigente,Vigente,Ninguna,Estériles,223300516A1394,29-nov.-22,03-jun.-23,Vigente
"Laboratorios Dermatológicos Darier, S.A. de C.V.",Av. De los 50 Metros No. 402,Civac,62578,Jiutepec,Morelos,17011020005,24-jun.-10,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Cápsulas de gelatina dura de liberación prolongada, Polvo para reconstituir; SÓLIDOS NO ORALES: Polvo tópico, LÍQUIDOS NO ORALES:
Emulsión, Suspensión, Solución, Loción, Shampoo Medicinal; SEMISÓLIDOS: Crema, Ungüento, Gel, Pomada, Espuma; AEROSOLES: Suspensión en aerosol, Solución en aerosol, Polvo en aerosol.",Revocada,Suspensión definitiva desde el 13 de febrero de 2018,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,"Sólidos orales, Sólidos no orales, Líquidos orales, Semisólidos, Aerosoles.",163300CO240310,26-ene.-17,27-abr.-17,Vencido
"Laboratorios Dermatológicos
Prada, S.A. de C.V.",Sauces No. 33,San Lorenzo Huipulco,14370,Tlalpan,D.F.,09014020006,17-may.-06,LÍQUIDOS NO ORALES: Solución.,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Laboratorios Diba, S.A.","Autopista Saltillo Monterrey Km 11.5, Int B",Capellania,25900,Ramos Arizpe,Coahuila,05027020005,19-ene.-16,"SÓLIDOS-BETALACTAMICOS: Capsulas y polvo para reconstituir; SÓLIDOS-HORMONALES: Tabletas,
Tabletas Recubiertas.",Vigente,Vigente,Ninguna,"Sólidos-Betalactámicos, Sólidos- Hormonales.",223300516A1159,29-sep.-22,21-abr.-23,Vencido
"Laboratorios Diba, S.A.",Escorza No. 728,Moderna,44190,Guadalajara,Jalisco,14039020007,19-oct.-01,"SÓLIDOS ORALES: Tabletas, Comprimidos, Cápsulas de gelatina dura, Polvo para reconstituir, Grageas de liberación prolongada; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Crema, Gel, Pomada; ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en frasco ámpula, Solución oftálmica, Solución ótica.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Laboratorios Dr. Montfort, S.A. de C.V.",Librado García Ayala No. 330 Sur,Centro,66350,Santa Catarina,Nuevo León,19048020001,07-feb.-07,"SÓLIDOS ORALES: Tabletas, Grageas, Pastilla; LÍQUIDOS ORALES: Solución, Jarabe; LÍQUIDOS NO
ORALES: Linimento; SEMISÓLIDOS: Gel, Pomada; SÓLIDOS ORALES HOMEOPÁTICOS: Tabletas, Pastilla; LÍQUIDOS ORALES HOMEOPÁTICOS: Solución, Jarabe, LÍQUIDOS NO ORALES HOMEOPÁTICOS: Linimento; SEMISÓLIDOS HOMEOPÁTICOS: Gel,
Pomada.",Vigente,Vigente,Ninguna,"Sólidos orales; Fábrica o laboratorio de medicamentos homeopáticos: Sólidos orales, Líquidos orales, Semisólidos.",CAS/3/OR/12345/2016,12-dic.-16,30-abr.-18,Vencido
"Laboratorios Farmacéuticos Loren,
S.A. de C.V.","Km. 91.5 Carr. Fed. México-
Puebla Lt. 4 Mz. 3 del Anexo- Zona 4",Corredor Industrial Quetzalcoatl,74160,Huejotzingo,Puebla,21074020003,19-oct.-04,"LÍQUIDOS ORALES: Solución, Suspensión, Jarabe, Emulsión.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Laboratorios Goñis, S. de R.L. de
C.V.",Sevilla No. 501,Portales,03300,Benito Juárez,D.F.,09003020024,23-dic.-05,SÓLIDOS ORALES: Cápsulas de gelatina blanda.,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Laboratorios Grin, S.A. de C.V.",Rodriguez Saro No. 630,Del Valle,03100,Benito Juárez,D.F.,09003020026,29-ago.-11,"SÓLIDOS ORALES: Tabletas, Grageas; ESTÉRILES: Ungüento oftálmico, Solución oftálmica, Suspensión oftálmica, Solución ótica, Solución nasal, Gel oftálmico.",Vigente,Vigente,Ninguna,"Sólidos orales, Estériles.",CAS/SELS/16009/2020,17-nov.-20,17-may.-23,Vigente
"Laboratorios Grossman, S.A.",Calz. de Tlalpan No. 2021,Parque San Andrés,04040,Coyoacan,Ciudad de México,09004020028,24-ago.-22,"LÍQUIDOS: Solución, Suspensión, Elixir, Jarabe, Loción; SEMISÓLIDOS: Crema, Ungüento, Gel, Óvulo,  Pomada, Pasta;  ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en frasco ámpula, Emulsión inyectable en ampolleta, Solución inyectable en jeringa, Solución ótica, Liofilizado para solución inyectable en frasco ámpula.",Vigente,Suspensión temporal del 16 de diciembre de 2020 al 30 de abril de 2021 Laboratorio microbiología,Con fundamento en el Artículo 202 de la Ley General de Salud.,"Líquidos, Semisólidos, Estériles.",233300CI110011,30-ene.-23,05-oct.-24,Vigente
"Laboratorios Higia, S.A. de C.V.",Santa Ursula No. 11,Tlalpan,14000,Tlalpan,Ciudad de México,09014020003,14-jun.-21,"SÓLIDOS : Polvo; LÍQUIDOS: Suspensión, Elixir.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos Orales.",223300CT110004,20-ene.-22,17-jun.-22,Vencido
"Laboratorios Kem, S. de R.L. de C.V.",Oslo No. 3526,Sec. Costa Azul,22506,Tijuana,Baja California,02004020004,06-jun.-08,"SÓLIDOS ORALES: Tabletas, Comprimidos; ESTÉRILES: Solución inyectable en ampolleta.",Revocada,Suspensión definitiva el 28 de abril de 2017,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
